,cell_line_name,time,10,15
CONTROL AVG,SKMEL5,24hrs,-1.1996708106183223,-1.3898595265297415
TREATMENT AVG,SKMEL5,24hrs,-1.7866440490044602,-2.57587060649311
REASON,,,Emerging process,Emerging process
-,,,,
CONTROL AVG,SKMEL5,48hrs,,-1.351789547643043
TREATMENT AVG,SKMEL5,48hrs,,-2.2996991493730845
REASON,,,,Emerging process
