,cell_line_name,compound_name,time,2
GLEEVEC AVG,WM35,GLEEVEC,24hrs,-1.9669887702584161
GLEEVEC AVG,WM35,GLEEVEC,48hrs,-1.6947256743958412
REASON,,,,Disappearing process
