,cell_line_name,time,2,3
CONTROL AVG,MDAMB231HT,48hrs,1.4210457580259288,-1.764192012677026
TREATMENT AVG,MDAMB231HT,48hrs,2.0513027688323215,-1.2010598160523196
REASON,,,Emerging process,Disappearing process
