,cell_line_name,time,7,2,6
CONTROL AVG,MDAMB468,24hrs,-1.4764264143798975,,
TREATMENT AVG,MDAMB468,24hrs,-1.7552043573687952,,
REASON,,,Emerging process,,
-,,,,,
CONTROL AVG,MDAMB468,48hrs,,1.4670280628412788,-2.1706192645276197
TREATMENT AVG,MDAMB468,48hrs,,1.7761263199403743,-1.4796581188352442
REASON,,,,Emerging process,Disappearing process
