,cell_line_name,compound_name,time,2
GLEEVEC AVG,BT549,GLEEVEC,24hrs,1.6017475588659653
GLEEVEC AVG,BT549,GLEEVEC,48hrs,2.1393663138040253
REASON,,,,Emerging process
