,cell_line_name,compound_name,time,5
DMSO AVG,T47D,DMSO,24hrs,-1.0145154120043096
GLEEVEC AVG,T47D,GLEEVEC,24hrs,-2.025708024983513
REASON,,,,Emerging process
-,,,,
GLEEVEC AVG,T47D,GLEEVEC,24hrs,-2.025708024983513
GLEEVEC AVG,T47D,GLEEVEC,48hrs,-1.348100518801257
REASON,,,,Disappearing process
