,cell_line_name,time,1,2,4,8,11,12,13,14,3,5
CONTROL AVG,PC3,24hrs,-0.02615134533199666,0.2331762284536927,2.151164049175388,-1.3450267547041745,-0.6854488953056584,-2.0621463101842927,0.2441895949122859,1.8330188615877834,,
TREATMENT AVG,PC3,24hrs,5.27665518007832,2.752252811440756,-2.000942745123722,1.7488060310491886,1.858930935854427,-0.4930485164416014,-2.1875286502752536,-0.5206741079555056,,
REASON,,,Sign change,Emerging process,Sign change,Sign change,Sign change,Disappearing process,Sign change,Sign change,,
-,,,,,,,,,,,,
CONTROL AVG,PC3,48hrs,0.04536232625144708,-0.10736631128690717,2.122364734753217,,,-1.9162809579653017,0.4865702551511871,1.9822728592705923,-1.762933022916304,-0.8297565639949552
TREATMENT AVG,PC3,48hrs,5.429854626155926,3.2880725417549157,-2.312831185764707,,,-0.5943309609258792,-2.0090730077228227,-0.31333631639209214,-1.1726972817232526,-2.084493371354415
REASON,,,Emerging process,Sign change,Sign change,,,Disappearing process,Sign change,Sign change,Disappearing process,Emerging process
