,cell_line_name,time,13,8
CONTROL AVG,MCF7,24hrs,-1.652254515209202,
TREATMENT AVG,MCF7,24hrs,-1.8756578303990652,
REASON,,,Emerging process,
-,,,,
CONTROL AVG,MCF7,48hrs,-1.3498796871120582,2.367332076668455
TREATMENT AVG,MCF7,48hrs,-1.7715430694828742,1.627694290384018
REASON,,,Emerging process,Disappearing process
